,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M1B,Scarborough,"Malvern, Rouge",43.81015396118164,-79.1946029663086,2,Fast Food Restaurant,Yoga Studio,Flea Market,Fish & Chips Shop,Field,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant
1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78467178344727,-79.1589584350586,3,Bar,Donut Shop,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76628875732422,-79.17288970947266,1,Gym / Fitness Center,Construction & Landscaping,Athletics & Sports,Park,Event Space,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
3,M1G,Scarborough,Woburn,43.768287658691406,-79.214111328125,3,Soccer Field,Business Service,Korean Restaurant,Yoga Studio,Dumpling Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
4,M1H,Scarborough,Cedarbrae,43.76918029785156,-79.23876953125,3,Construction & Landscaping,Gaming Cafe,Trail,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space,Donut Shop
5,M1J,Scarborough,Scarborough Village,43.74393844604492,-79.23135375976562,3,Restaurant,Grocery Store,Indian Restaurant,Train Station,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Distribution Center
6,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72580337524414,-79.26284790039062,3,Department Store,Hobby Shop,Discount Store,Coffee Shop,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
7,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.71665573120117,-79.28653717041016,3,Soccer Field,Pub,Coffee Shop,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
8,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.723575592041016,-79.23445129394531,3,Ice Cream Shop,Pizza Place,Liquor Store,Sandwich Place,Discount Store,Coffee Shop,Burger Joint,Hardware Store,Pharmacy,Cupcake Shop
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.69788360595703,-79.25875854492188,1,Park,College Stadium,General Entertainment,Skating Rink,Gym Pool,Gym,Empanada Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
10,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.75988388061523,-79.2683334350586,3,Bakery,Gift Shop,Wine Shop,Ethiopian Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space
11,M1R,Scarborough,"Wexford, Maryvale",43.75130081176758,-79.29981231689453,4,Convenience Store,Auto Garage,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space,Falafel Restaurant,Donut Shop
12,M1S,Scarborough,Agincourt,43.797706604003906,-79.26770782470703,3,Chinese Restaurant,Coffee Shop,Hong Kong Restaurant,Badminton Court,Shanghai Restaurant,Bubble Tea Shop,Sandwich Place,Supermarket,Sushi Restaurant,Discount Store
13,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.78499984741211,-79.29935455322266,0,Shopping Mall,Pizza Place,Pharmacy,Coffee Shop,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
14,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81781005859375,-79.28651428222656,1,Playground,Park,Pharmacy,Gym,Shopping Plaza,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
15,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80156326293945,-79.3188705444336,3,Chinese Restaurant,Fast Food Restaurant,Bubble Tea Shop,Thrift / Vintage Store,Pizza Place,Pharmacy,Other Great Outdoors,Coffee Shop,Sandwich Place,Electronics Store
17,M2H,North York,Hillcrest Village,43.80294036865234,-79.35606384277344,3,Dog Run,Residential Building (Apartment / Condo),Chinese Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Donut Shop,Ethiopian Restaurant
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7811393737793,-79.3485107421875,3,Clothing Store,Coffee Shop,Fast Food Restaurant,Convenience Store,Thai Restaurant,Skating Rink,Boutique,Restaurant,Chocolate Shop,Supplement Shop
19,M2K,North York,Bayview Village,43.77941513061523,-79.37744140625,3,Construction & Landscaping,Golf Driving Range,Trail,Dog Run,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
20,M2L,North York,"York Mills, Silver Hills",43.75759506225586,-79.3807373046875,1,Park,Yoga Studio,Donut Shop,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space
21,M2M,North York,"Willowdale, Newtonbrook",43.79217529296875,-79.41384887695312,3,Middle Eastern Restaurant,Korean Restaurant,Pizza Place,Café,Japanese Restaurant,Supermarket,Fried Chicken Joint,Shopping Mall,Ramen Restaurant,Sporting Goods Shop
22,M2N,North York,WillowdaleSouth,43.76828002929688,-79.40745544433594,3,Café,Coffee Shop,Ramen Restaurant,Fast Food Restaurant,Ice Cream Shop,Movie Theater,Juice Bar,Fried Chicken Joint,Electronics Store,Discount Store
23,M2P,North York,York Mills West,43.74917984008789,-79.39917755126953,1,Convenience Store,Park,Speakeasy,Bank,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
24,M2R,North York,WillowdaleWest,43.77717590332031,-79.44265747070312,0,Coffee Shop,Convenience Store,Shopping Mall,Sandwich Place,Eastern European Restaurant,Pizza Place,Bus Line,Falafel Restaurant,Event Space,Farm
25,M3A,North York,Parkwoods,43.75125503540039,-79.32989501953125,1,Park,Bed & Breakfast,Food & Drink Shop,Pet Store,Yoga Studio,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
26,M3B,North York,Don MillsNorth,43.7491340637207,-79.36200714111328,3,Burger Joint,Coffee Shop,Park,Soccer Field,Gas Station,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
27,M3C,North York,Don MillsSouth(Flemingdon Park,43.72586441040039,-79.34461975097656,3,Restaurant,Dim Sum Restaurant,Clothing Store,Bike Shop,Coffee Shop,Chinese Restaurant,Asian Restaurant,Gym,Sporting Goods Shop,Japanese Restaurant
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.74726867675781,-79.44499206542969,1,Bar,IT Services,Park,Yoga Studio,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space
29,M3J,North York,"Northwood Park, York University",43.7646598815918,-79.49041748046875,3,Japanese Restaurant,Miscellaneous Shop,Bar,Bank,Coffee Shop,Caribbean Restaurant,Fast Food Restaurant,Pizza Place,Massage Studio,Restaurant
30,M3K,North York,DownsviewEast (CFB Toronto,43.7376594543457,-79.46732330322266,1,Park,Airport,Food Court,Coffee Shop,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
31,M3L,North York,DownsviewWest,43.7415657043457,-79.51099395751953,3,Shopping Mall,Pizza Place,Moving Target,Vietnamese Restaurant,Bank,Park,Grocery Store,Coffee Shop,Empanada Restaurant,Eastern European Restaurant
33,M3N,North York,DownsviewNorthwest,43.75693130493164,-79.51971435546875,3,Pizza Place,Fast Food Restaurant,Shopping Mall,Grocery Store,Discount Store,Coffee Shop,Liquor Store,Caribbean Restaurant,Sandwich Place,Beer Store
34,M4A,North York,Victoria Village,43.729957580566406,-79.31420135498047,1,Park,Pizza Place,Portuguese Restaurant,Intersection,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
35,M4B,East York,"Parkview Hill, Woodbine Gardens",43.70757675170898,-79.3109130859375,3,Pizza Place,Fast Food Restaurant,Intersection,Café,Breakfast Spot,Rock Climbing Spot,Gastropub,Bank,Bus Line,Pharmacy
36,M4C,East York,Woodbine Heights,43.6898193359375,-79.31036376953125,3,Thrift / Vintage Store,Gas Station,Bar,Breakfast Spot,Arts & Crafts Store,Café,Sushi Restaurant,Yoga Studio,Elementary School,Empanada Restaurant
37,M4E,East Toronto,The Beaches,43.67961120605469,-79.29569244384766,3,Park,Home Service,Health Food Store,Pizza Place,Coffee Shop,Asian Restaurant,Trail,Pub,Bakery,Elementary School
38,M4G,East York,Leaside,43.70872497558594,-79.36652374267578,3,Bank,Sporting Goods Shop,Sushi Restaurant,Restaurant,Breakfast Spot,Sports Bar,Mexican Restaurant,Bike Shop,Sandwich Place,Electronics Store
39,M4H,East York,Thorncliffe Park,43.69838333129883,-79.35880279541016,3,Trail,Clothing Store,Pool,Skating Rink,Curling Ice,Grocery Store,Ethiopian Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
40,M4J,East YorkEast Toronto,The Danforth East,43.68635940551758,-79.33558654785156,4,Convenience Store,Flea Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant
41,M4K,East Toronto,"The Danforth West, Riverdale",43.68232727050781,-79.35579681396484,1,Grocery Store,Discount Store,Café,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
42,M4L,East Toronto,"India Bazaar, The Beaches West",43.67090606689453,-79.31626892089844,3,Grocery Store,Café,Pizza Place,Fast Food Restaurant,Sushi Restaurant,Brewery,Park,Burrito Place,Liquor Store,Fish & Chips Shop
43,M4M,East Toronto,Studio District,43.65756607055664,-79.34049224853516,3,Coffee Shop,Café,Brewery,Gastropub,Park,Bank,Seafood Restaurant,Fish Market,Cheese Shop,Clothing Store
44,M4N,Central Toronto,Lawrence Park,43.7285041809082,-79.38844299316406,3,Bus Line,Swim School,Yoga Studio,Dumpling Restaurant,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
45,M4P,Central Toronto,Davisville North,43.71302032470703,-79.38856506347656,1,Convenience Store,Breakfast Spot,Park,Department Store,Food & Drink Shop,Gym,Hotel,Farmers Market,Farm,Dumpling Restaurant
46,M4R,Central Toronto,North Toronto West,43.71461486816406,-79.40653228759766,1,Playground,Gym Pool,Park,Ethiopian Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space
47,M4S,Central Toronto,Davisville,43.703163146972656,-79.38589477539062,3,Dessert Shop,Coffee Shop,Italian Restaurant,Park,Pizza Place,Café,Sandwich Place,Toy / Game Store,Thai Restaurant,Farmers Market
48,M4T,Central Toronto,"Moore Park, Summerhill East",43.69073486328125,-79.38300323486328,0,Convenience Store,Gym,Playground,Historic Site,Dog Run,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
49,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68603515625,-79.40226745605469,3,Light Rail Station,Coffee Shop,Liquor Store,Supermarket,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
50,M4W,Downtown Toronto,Rosedale,43.68204879760742,-79.37818908691406,1,Playground,Candy Store,Park,Gym / Fitness Center,Empanada Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
51,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.66788101196289,-79.36649322509766,3,Restaurant,Coffee Shop,Pizza Place,Park,Café,Chinese Restaurant,Pub,Bakery,Italian Restaurant,Jewelry Store
52,M4Y,Downtown Toronto,Church and Wellesley,43.66633605957031,-79.38119506835938,3,Coffee Shop,Japanese Restaurant,Gay Bar,Restaurant,Sushi Restaurant,Hotel,Men's Store,Dance Studio,Pub,Café
53,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65522003173828,-79.36196899414062,3,Coffee Shop,Breakfast Spot,Restaurant,Yoga Studio,Theater,Café,Event Space,Spa,Mexican Restaurant,Food Truck
54,M5B,Downtown Toronto,"Garden District, Ryerson",43.65746688842773,-79.3777084350586,3,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Cosmetics Shop,Sandwich Place,Hotel,Café,Ramen Restaurant,Diner,Movie Theater
55,M5C,Downtown Toronto,St. James Town,43.65121078491211,-79.37548065185547,3,Coffee Shop,Café,Restaurant,Seafood Restaurant,Italian Restaurant,Hotel,Bakery,Diner,Breakfast Spot,Beer Bar
56,M5E,Downtown Toronto,Berczy Park,43.64332962036133,-79.37222290039062,3,Coffee Shop,Restaurant,Bar,Cosmetics Shop,Concert Hall,Beer Bar,Hotel,Hotel Bar,Greek Restaurant,Steakhouse
57,M5G,Downtown Toronto,Central Bay Street,43.65607833862305,-79.38491821289062,3,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Sandwich Place,Thai Restaurant,Hotel,Bubble Tea Shop,Restaurant,Italian Restaurant,Japanese Restaurant
58,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65040969848633,-79.38288116455078,3,Coffee Shop,Café,Restaurant,Hotel,Gastropub,Clothing Store,Gym,Bakery,Thai Restaurant,Breakfast Spot
59,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.61750030517578,-79.3728256225586,3,Theme Park,Pizza Place,Farm,Beer Garden,Scenic Lookout,Park,Beach,Playground,American Restaurant,Pier
60,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64810562133789,-79.38243865966797,3,Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Seafood Restaurant,American Restaurant,Gastropub,Bar,Italian Restaurant
61,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64840316772461,-79.37922668457031,3,Coffee Shop,Café,Restaurant,Hotel,American Restaurant,Japanese Restaurant,Gym,Italian Restaurant,Seafood Restaurant,Gastropub
62,M5M,North York,"Bedford Park, Lawrence Manor East",43.734901428222656,-79.4190444946289,3,Sandwich Place,Italian Restaurant,Coffee Shop,Thai Restaurant,Pharmacy,Indian Restaurant,Café,Fast Food Restaurant,Liquor Store,Restaurant
63,M5N,Central Toronto,Roselawn,43.712074279785156,-79.41805267333984,3,Garden,Yoga Studio,Donut Shop,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space
64,M5P,Central Toronto,Forest Hill North & West,43.694580078125,-79.41486358642578,1,Construction & Landscaping,Park,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Falafel Restaurant
65,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674583435058594,-79.40174102783203,3,Café,Italian Restaurant,Mexican Restaurant,Sandwich Place,Pub,Mediterranean Restaurant,Pet Store,Metro Station,Liquor Store,Middle Eastern Restaurant
66,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6631088256836,-79.40180206298828,3,Café,Restaurant,Bakery,Gym,Japanese Restaurant,Coffee Shop,Bar,Bookstore,Yoga Studio,College Gym
67,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65351104736328,-79.39722442626953,3,Café,Bar,Vietnamese Restaurant,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop,Pizza Place,Farmers Market,Chinese Restaurant,Bakery
68,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64081573486328,-79.3995361328125,3,Coffee Shop,Italian Restaurant,Restaurant,Café,Bar,Gym / Fitness Center,Sandwich Place,Electronics Store,Bakery,Park
69,M5W,Downtown TorontoStn A PO Boxes25 The Esplanade,Enclave of M5E,43.64868927001953,-79.38543701171875,3,Coffee Shop,Hotel,Restaurant,Bar,Seafood Restaurant,Italian Restaurant,Café,Pizza Place,Concert Hall,American Restaurant
70,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64798355102539,-79.38348388671875,3,Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Seafood Restaurant,Italian Restaurant,Bar,Steakhouse,Concert Hall
71,M6A,North York,"Lawrence Manor, Lawrence Heights",43.722801208496094,-79.45069122314453,3,Clothing Store,Coffee Shop,Restaurant,Jewelry Store,American Restaurant,Furniture / Home Store,Women's Store,Toy / Game Store,Chocolate Shop,Cosmetics Shop
72,M6B,North York,Glencairn,43.70657348632813,-79.44783020019531,3,Pizza Place,Grocery Store,Mediterranean Restaurant,Japanese Restaurant,Bank,Sushi Restaurant,Pub,Gas Station,Fast Food Restaurant,Ethiopian Restaurant
73,M6C,York,Humewood-Cedarvale,43.69183349609375,-79.43162536621094,3,Playground,Grocery Store,Business Service,Deli / Bodega,Park,Trail,Field,Hockey Arena,Cupcake Shop,Curling Ice
74,M6E,York,Caledonia-Fairbanks,43.686744689941406,-79.45046997070312,3,Café,Mexican Restaurant,Sporting Goods Shop,Bus Stop,Gym,Beer Store,Falafel Restaurant,Elementary School,Empanada Restaurant,Ethiopian Restaurant
75,M6G,Downtown Toronto,Christie,43.66884994506836,-79.42037963867188,3,Café,Grocery Store,Playground,Coffee Shop,Baby Store,Candy Store,Farm,Falafel Restaurant,Event Space,Donut Shop
76,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66508102416992,-79.43872833251953,3,Park,Café,Bar,Bank,Bakery,Middle Eastern Restaurant,Furniture / Home Store,Pool,Grocery Store,Gym
77,M6J,West Toronto,"Little Portugal, Trinity",43.64855575561523,-79.41777038574219,3,Bar,Coffee Shop,Cocktail Bar,Asian Restaurant,Restaurant,Wine Bar,Vietnamese Restaurant,Pizza Place,Seafood Restaurant,Skating Rink
78,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639408111572266,-79.42402648925781,3,Coffee Shop,Restaurant,Café,Furniture / Home Store,Bakery,Sandwich Place,Bar,Gym,Supermarket,Vegetarian / Vegan Restaurant
79,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.71413803100586,-79.4886474609375,1,Basketball Court,Park,Home Service,Bakery,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
80,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.69445037841797,-79.48361206054688,2,Fast Food Restaurant,Construction & Landscaping,Coffee Shop,Yoga Studio,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Falafel Restaurant
81,M6N,York,"Runnymede, The Junction North",43.675048828125,-79.48330688476562,1,Brewery,Park,Furniture / Home Store,Athletics & Sports,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
82,M6P,West Toronto,"High Park, The Junction South",43.661224365234375,-79.46348571777344,3,Mexican Restaurant,Bar,Park,Fast Food Restaurant,Italian Restaurant,Fried Chicken Joint,Seafood Restaurant,Cajun / Creole Restaurant,Café,Flea Market
83,M6R,West Toronto,"Parkdale, Roncesvalles",43.64823913574219,-79.45044708251953,3,Coffee Shop,Eastern European Restaurant,Restaurant,Bakery,Café,American Restaurant,Bookstore,Thai Restaurant,Gift Shop,Italian Restaurant
84,M6S,West Toronto,"Runnymede, Swansea",43.64944076538086,-79.47565460205078,3,Café,Coffee Shop,Bakery,Pizza Place,Bank,Park,Bus Line,Shoe Store,Restaurant,Pub
85,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66448593139648,-79.39302062988281,3,Coffee Shop,Café,Park,Theater,Burger Joint,Sandwich Place,Chinese Restaurant,Restaurant,Clothing Store,Pub
86,M7R,MississaugaCanada Post Gateway Processing Centre,Enclave of L4W,43.64868927001953,-79.38543701171875,3,Coffee Shop,Hotel,Restaurant,Bar,Seafood Restaurant,Italian Restaurant,Café,Pizza Place,Concert Hall,American Restaurant
87,M7Y,East TorontoBusiness reply mail Processing Centre969 Eastern,Enclave of M4L,43.64868927001953,-79.38543701171875,3,Coffee Shop,Hotel,Restaurant,Bar,Seafood Restaurant,Italian Restaurant,Café,Pizza Place,Concert Hall,American Restaurant
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60992050170898,-79.49787902832031,3,Yoga Studio,Grocery Store,Skating Rink,Tennis Court,Creperie,Cuban Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
89,M8W,Etobicoke,"Alderwood, Long Branch",43.60072708129883,-79.53973388671875,0,Convenience Store,Pizza Place,Gas Station,Pharmacy,Sandwich Place,Gym,Athletics & Sports,Coffee Shop,Pub,Electronics Store
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65321350097656,-79.51116180419922,1,Lounge,Park,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Falafel Restaurant
91,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.631919860839844,-79.49015808105469,3,Coffee Shop,Chinese Restaurant,Sushi Restaurant,Fast Food Restaurant,Farmers Market,Bank,Italian Restaurant,Park,Eastern European Restaurant,Electronics Store
92,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.62516403198242,-79.52655029296875,3,Burrito Place,Burger Joint,Middle Eastern Restaurant,Sushi Restaurant,Coffee Shop,Thai Restaurant,Bank,Miscellaneous Shop,Gym,Gym / Fitness Center
93,M9A,Etobicoke,Islington Avenue,43.662742614746094,-79.52842712402344,3,Pharmacy,Park,Bank,Skating Rink,Grocery Store,Shopping Mall,Café,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store
94,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.650787353515625,-79.5503158569336,0,Pizza Place,Chinese Restaurant,Coffee Shop,Tea Room,Empanada Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School
95,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64839553833008,-79.57754516601562,3,Grocery Store,Shopping Mall,Pizza Place,Fish & Chips Shop,Carpet Store,Electronics Store,Eastern European Restaurant,Elementary School,Empanada Restaurant,Yoga Studio
96,M9L,North York,Humber Summit,43.75942611694336,-79.55647277832031,3,Sporting Goods Shop,Yoga Studio,Donut Shop,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space
97,M9M,North York,"Humberlea, Emery",43.73358154296875,-79.53485107421875,3,Coffee Shop,Nightclub,Park,Dog Run,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Yoga Studio
98,M9N,York,Weston,43.70557022094727,-79.51861572265625,1,Thai Restaurant,Farmers Market,Diner,Pharmacy,Park,Fast Food Restaurant,Farm,Falafel Restaurant,Event Space,Dog Run
99,M9P,Etobicoke,Westmount,43.69648361206055,-79.52926635742188,0,Pizza Place,Middle Eastern Restaurant,Sandwich Place,Coffee Shop,Chinese Restaurant,Farm,Falafel Restaurant,Event Space,Donut Shop,Empanada Restaurant
100,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.68450546264648,-79.55791473388672,3,Beach Bar,Home Service,Music Venue,Arts & Crafts Store,Gym,Event Space,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
101,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.74293518066406,-79.58483123779297,3,Grocery Store,Fast Food Restaurant,Pizza Place,Beer Store,Sushi Restaurant,Sandwich Place,Caribbean Restaurant,Park,Gym Pool,Pharmacy
102,M9W,EtobicokeNorthwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.71155166625977,-79.58452606201172,0,Gym,Coffee Shop,Gas Station,Sandwich Place,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Donut Shop
